headline,date,stock,Open,High,Low,Close,Volume,Company,sentiment
Apple CEO outlines growth strategy at investor conference,2025-10-27,AAPL,264.37609822840903,268.60802232244004,264.1465248140549,268.2986145019531,44888200,Apple,0.0
Apple CEO outlines growth strategy at investor conference,2025-10-27,AAPL,227.66000366210935,228.3999938964844,225.5399932861328,226.97000122070312,38267000,Amazon,0.0
Apple CEO outlines growth strategy at investor conference,2025-10-27,AAPL,264.4607188078389,269.7735083332291,263.9214429072172,268.9046630859375,35235200,Google,0.0
Apple CEO outlines growth strategy at investor conference,2025-10-27,AAPL,748.4781384032651,754.4881061640369,746.7610395763271,749.5663452148438,11321100,Meta,0.0
Apple CEO outlines growth strategy at investor conference,2025-10-27,AAPL,529.577902779321,532.3662956890146,526.819354031342,529.3189697265625,18734700,Microsoft,0.0
Apple CEO outlines growth strategy at investor conference,2025-10-27,AAPL,189.9691435897376,191.97891738858848,188.4093020699799,191.46897888183597,153452700,Nvidia,0.0
Apple CEO outlines growth strategy at investor conference,2025-10-27,AAPL,439.9800109863281,460.1600036621094,438.6900024414063,452.4200134277344,105867500,Tesla,0.0
Apple beats revenue estimates for the third consecutive quarter,2025-10-27,AAPL,264.37609822840903,268.60802232244004,264.1465248140549,268.2986145019531,44888200,Apple,0.0
Apple beats revenue estimates for the third consecutive quarter,2025-10-27,AAPL,227.66000366210935,228.3999938964844,225.5399932861328,226.97000122070312,38267000,Amazon,0.0
Apple beats revenue estimates for the third consecutive quarter,2025-10-27,AAPL,264.4607188078389,269.7735083332291,263.9214429072172,268.9046630859375,35235200,Google,0.0
Apple beats revenue estimates for the third consecutive quarter,2025-10-27,AAPL,748.4781384032651,754.4881061640369,746.7610395763271,749.5663452148438,11321100,Meta,0.0
Apple beats revenue estimates for the third consecutive quarter,2025-10-27,AAPL,529.577902779321,532.3662956890146,526.819354031342,529.3189697265625,18734700,Microsoft,0.0
Apple beats revenue estimates for the third consecutive quarter,2025-10-27,AAPL,189.9691435897376,191.97891738858848,188.4093020699799,191.46897888183597,153452700,Nvidia,0.0
Apple beats revenue estimates for the third consecutive quarter,2025-10-27,AAPL,439.9800109863281,460.1600036621094,438.6900024414063,452.4200134277344,105867500,Tesla,0.0
Amazon announces share buyback program worth $5 billion,2025-10-27,AMZN,264.37609822840903,268.60802232244004,264.1465248140549,268.2986145019531,44888200,Apple,0.3
Amazon announces share buyback program worth $5 billion,2025-10-27,AMZN,227.66000366210935,228.3999938964844,225.5399932861328,226.97000122070312,38267000,Amazon,0.3
Amazon announces share buyback program worth $5 billion,2025-10-27,AMZN,264.4607188078389,269.7735083332291,263.9214429072172,268.9046630859375,35235200,Google,0.3
Amazon announces share buyback program worth $5 billion,2025-10-27,AMZN,748.4781384032651,754.4881061640369,746.7610395763271,749.5663452148438,11321100,Meta,0.3
Amazon announces share buyback program worth $5 billion,2025-10-27,AMZN,529.577902779321,532.3662956890146,526.819354031342,529.3189697265625,18734700,Microsoft,0.3
Amazon announces share buyback program worth $5 billion,2025-10-27,AMZN,189.9691435897376,191.97891738858848,188.4093020699799,191.46897888183597,153452700,Nvidia,0.3
Amazon announces share buyback program worth $5 billion,2025-10-27,AMZN,439.9800109863281,460.1600036621094,438.6900024414063,452.4200134277344,105867500,Tesla,0.3
Institutional investors increase stake in Amazon,2025-10-27,AMZN,264.37609822840903,268.60802232244004,264.1465248140549,268.2986145019531,44888200,Apple,0.0
Institutional investors increase stake in Amazon,2025-10-27,AMZN,227.66000366210935,228.3999938964844,225.5399932861328,226.97000122070312,38267000,Amazon,0.0
Institutional investors increase stake in Amazon,2025-10-27,AMZN,264.4607188078389,269.7735083332291,263.9214429072172,268.9046630859375,35235200,Google,0.0
Institutional investors increase stake in Amazon,2025-10-27,AMZN,748.4781384032651,754.4881061640369,746.7610395763271,749.5663452148438,11321100,Meta,0.0
Institutional investors increase stake in Amazon,2025-10-27,AMZN,529.577902779321,532.3662956890146,526.819354031342,529.3189697265625,18734700,Microsoft,0.0
Institutional investors increase stake in Amazon,2025-10-27,AMZN,189.9691435897376,191.97891738858848,188.4093020699799,191.46897888183597,153452700,Nvidia,0.0
Institutional investors increase stake in Amazon,2025-10-27,AMZN,439.9800109863281,460.1600036621094,438.6900024414063,452.4200134277344,105867500,Tesla,0.0
Amazon CEO outlines growth strategy at investor conference,2025-10-27,AMZN,264.37609822840903,268.60802232244004,264.1465248140549,268.2986145019531,44888200,Apple,0.0
Amazon CEO outlines growth strategy at investor conference,2025-10-27,AMZN,227.66000366210935,228.3999938964844,225.5399932861328,226.97000122070312,38267000,Amazon,0.0
Amazon CEO outlines growth strategy at investor conference,2025-10-27,AMZN,264.4607188078389,269.7735083332291,263.9214429072172,268.9046630859375,35235200,Google,0.0
